,class,id,title,url,is_paid,price
17902,'course','2453720','Melhoramento Focado: Ferramenta Mapa de Controle de Vendas','/course/melhoramento-focado-mapa-de-controle-de-vendas/','false','Free'
17903,'course','2523574','FERRAMENTAS DE VENDAS - Planilha de Excel para Vendedores','/course/ferramentas-de-vendas/','false','Free'
17904,'course','2239716','Aprenda M�quinas Virtuais com VirtualBox','/course/aprendendo_virtualbox/','false','Free'
17905,'course','2296171','Fam�lia Mais Segura Na Internet.','/course/familia-mais-segura-na-internet/','false','Free'
17906,'course','2287577','Simplificando Finan�as','/course/simplificando-financas/','false','Free'
17907,'course','2283330','Substance Painter Sniper - Texturiza��o para games AAA','/course/substance-painter-sniper-texturizacao-realista-e-modelagem/','false','Free'
17908,'course','2475808','Notifica��es Push com Firebase','/course/push-firebase/','false','Free'
17909,'course','2172966','TecnoMETAL 4D','/course/tecnometal/','false','Free'
17910,'course','2569772','Homeschooling: prova de Amor para seus filhos','/course/homeschooling-amor-e-filhos/','false','Free'
17911,'course','2423282','Seguran�a Digital de Crian�as e Adolescentes #01','/course/seguranca-digital-de-criancas-e-adolescentes/','false','Free'
17912,'course','2475216','Aprenda Economia na Pr�tica','/course/ecomimia-na-pratica/','false','Free'
17913,'course','2616994','COMO VENCER A TRISTEZA E TRANSFORMAR A SUA VIDA','/course/como-vencer-a-tristeza-e-transformar-a-sua-vida/','false','Free'
17914,'course','2423694','Gravando e Publicando um Podcast com Anchor FM','/course/gravando-e-publicando-um-podcast-com-anchor-fm/','false','Free'
17915,'course','2151198','USU�RIOS INTERM. Fa�a bandeiras no Blender c/ f�sica real!','/course/bandeira-real-blender-simulacao-de-fisica/','false','Free'
17916,'course','2600360','Fundamentos do Cronapp','/course/fundamentos-do-cronapp/','false','Free'
17917,'course','2574230','Como criar um plano de estudo (Teoria e Vlog)','/course/como-criar-um-plano-de-estudo/','false','Free'
17918,'course','2331236','Como conseguir um Est�gio','/course/como-conseguir-um-estagio-u/','false','Free'
17919,'course','2583448','Tens�o Normal M�dia e Tens�o de Cisalhamento M�dia.','/course/tensao-normal-cisalhamento/','false','Free'
17920,'course','2422280','Curso de Gram�tica Inglesa para Iniciantes - N�vel A1 (QECR)','/course/curso-de-gramatica-inglesa-para-iniciantes-nivel-a1-qecr/','false','Free'
17921,'course','2578982','Guia Completo da Entrevista de Emprego','/course/passar-na-entrevista-de-emprego-guia-completo/','false','Free'
17922,'course','2595352','Introdu��o aos Jogos Digitais','/course/introducao-aos-jogos-digitais/','false','Free'
17923,'course','2490066','Matem�tica (T�picos super importantes para Concursos)','/course/matematica-topicos-super-importantes-para-concursos/','false','Free'
17924,'course','2600822','O Pr�ximo N�vel em FOREX','/course/oproximonivel/','false','Free'
17925,'course','2247636','Turismo de Experi�ncia e como ser um viajante melhor','/course/como-vender-turismo-de-experiencia/','false','Free'
17926,'course','2604730','Direito na escola Experience','/course/direito-na-escola-experience/','false','Free'
17927,'course','1584264','Curso Mathematics On-line na Pr�tica','/course/curso-mathematics/','false','Free'
17928,'course','1968828','Hist�rias do Juda�smo','/course/judaismo/','false','Free'
17929,'course','1743188','T�cnicas para fazer uma boa apresenta��o em p�blico','/course/tecnicas-para-fazer-uma-boa-apresentacao-em-publico/','false','Free'
17930,'course','2492828','As Bailarinas de Degas','/course/bailarinas-de-degas/','false','Free'
17931,'course','2121546','Treinamento do Gestor - KM Online','/course/treinamento-do-gestor-km-online/','false','Free'
17932,'course','2339684','ADMINISTRA��O PAINEL STREAMING AUTODJ','/course/administracao-painel-streaming-autodj/','false','Free'
17933,'course','2576690','Profissional de Sucesso: O Guia Completo','/course/profissional-de-sucesso-o-guia-completo/','false','Free'
17934,'course','2610140','Invas�o em redes Wireless','/course/invasao-em-redes-wireless/','false','Free'
17935,'course','2560586','Liberdade financeira aprenda a planejar a sua.','/course/liberdade-financeira-aprenda-a-planejar-a-sua/','false','Free'
17936,'course','2584854','23 Dicas para estudantes que procrastinam (Vlog)','/course/23-dicas-para-estudantes-que-procrastinam/','false','Free'
17937,'course','2592894','Desenvolva Jogos Incriveis usando construct 2','/course/aprenda-godot-do-absoluto-zero/','false','Free'
17938,'course','2440528','Venda mais, com o p�s-venda m�todo 5w','/course/metodo5w/','false'
17939,'course','2606570','O Jeet-Kune-Do de Bruce Lee','/course/bruce-lee-jeet-kune-do-mude-sua-vida/','false','Free'
17940,'course','2584614','Curso de Empreendedorismo - Pr�tico e objetivo.','/course/curso-de-empreendedorismo-pratico-e-objetivo/','false','Free'
17941,'course','2518978','Magalu Gratuito','/course/magalu-gratuito/','false','Free'
17942,'course','2573980','Qu�mica org�nica I - Introdu��o','/course/quimica-organica-i-introducao/','false','Free'
17943,'course','2471398','Troubleshooting Citrix Virtual App and Desktops7.19(XA | XD)','/course/troubleshooting-citrix-virtual-app-and-desktops-xa-xd/','false','Free'
17944,'course','2547025','NOVA HOMIL�TICA','/course/nova-homiletica/','false','Free'
17945,'course','2602538','Advocacia - Dia a dia de um Advogado - Jur�dico','/course/advocacia-dia-a-dia-de-um-advogado-juridico/','false','Free'
